0 6 44 11.18986
0 6 40 10.35036
0 6 36 10.0952
0 6 32 9.79296
0 6 28 11.25975
0 6 24 9.20823
0 6 20 8.81706
0 6 16 8.34662
0 6 12 8.14269
0 6 8 7.94348
0 6 4 7.76659
0 5 64 13.43245
0 5 60 14.167950000000001
0 5 56 11.6344
0 5 52 11.707270000000001
0 5 48 10.39667
0 5 44 10.59242
0 5 40 15.2392
0 5 36 11.68855
0 5 32 11.03411
0 5 28 9.32672
0 5 24 8.78559
0 5 20 10.43328
0 5 16 8.29821
0 5 12 8.13728
0 5 8 7.852360000000001
0 5 4 9.4039
0 4 64 12.249600000000001
0 4 60 10.49852
0 4 56 11.92704
0 4 52 10.011379999999999
0 4 48 9.72083
0 4 44 9.521249999999998
0 4 40 10.991790000000002
0 4 36 10.89527
0 4 32 8.88407
0 4 28 10.461730000000001
0 4 24 8.53464
0 4 20 8.30375
0 4 16 8.09357
0 4 12 7.83737
0 4 8 9.45888
0 4 4 8.76998
0 3 64 11.82566
0 3 60 10.37014
0 3 56 9.874559999999999
0 3 52 9.67923
0 3 48 9.53219
0 3 44 11.474310000000001
0 3 40 9.3441
0 3 36 9.21115
0 3 32 8.888580000000001
0 3 28 8.813749999999999
0 3 24 8.171199999999999
0 3 20 8.05991
0 3 16 9.52
0 3 12 9.47462
0 3 8 7.778369999999999
0 3 4 6.728229999999999
0 2 64 10.65725
0 2 60 8.97715
0 2 56 9.101510000000001
0 2 52 8.63041
0 2 48 10.052480000000001
0 2 44 10.09824
0 2 40 8.28655
0 2 36 9.765889999999999
0 2 32 8.03641
0 2 28 7.9135
0 2 24 7.84202
0 2 20 9.52492
0 2 16 9.5671
0 2 12 7.857349999999999
0 2 8 9.32477
0 2 4 6.71088
0 1 64 8.03398
0 1 60 8.14167
0 1 56 7.91334
0 1 52 9.5831
0 1 48 7.87482
0 1 44 9.57056
0 1 40 7.93092
0 1 36 7.8720300000000005
0 1 32 7.76252
0 1 28 7.7786599999999995
0 1 24 9.23564
0 1 20 7.763780000000001
0 1 16 7.787389999999999
0 1 12 6.79705
0 1 8 8.188310000000001
0 1 4 6.7231
1 32 64 23.76841
1 32 60 22.95712
1 32 56 20.893189999999997
1 32 52 19.7286
1 32 48 18.54416
1 32 44 19.75088
1 32 40 15.333160000000001
1 32 36 14.53516
1 32 32 14.01606
1 32 28 12.93911
1 32 24 12.226300000000002
1 32 20 11.66077
1 32 16 12.182369999999999
1 32 12 11.05666
1 32 8 8.394749999999998
1 32 4 7.89968
1 31 64 23.34912
1 31 60 23.6761
1 31 56 20.69255
1 31 52 22.19008
1 31 48 20.05872
1 31 44 18.20221
1 31 40 15.6209
1 31 36 16.89398
1 31 32 13.90852
1 31 28 13.439589999999999
1 31 24 12.19593
1 31 20 13.57686
1 31 16 12.26362
1 31 12 9.54336
1 31 8 10.33373
1 31 4 7.96589
1 30 64 22.97187
1 30 60 22.220019999999998
1 30 56 21.725659999999998
1 30 52 20.77939
1 30 48 17.84759
1 30 44 19.017919999999997
1 30 40 15.10077
1 30 36 15.013760000000001
1 30 32 13.60202
1 30 28 13.01296
